date,real_price,random_walk_constante,rf_recursivo_desde_2009,xgboost_recursivo_desde_2009,rf_recursivo_desde_2018,xgboost_recursivo_desde_2018,rf_recursivo_desde_2024,xgboost_recursivo_desde_2024
2025-03-19,3033.1933,2613.165,2648.992752343783,2779.3506254404992,2669.5615982553063,2790.5484982823245,2970.569782661992,2845.2875941700413
2025-03-20,3032.4883,2613.165,2649.6496633256124,2782.6923634747704,2670.6222308282863,2793.9512703022983,2976.828695683616,2839.3282883608094
2025-03-21,3038.665,2613.165,2650.3067372116393,2786.0381194307056,2671.683284796845,2798.0656215798936,2983.3926923448157,2838.095226456558
2025-03-24,3015.765,2613.165,2650.9639740422613,2789.3878981392327,2672.7447603284054,2801.9922359236843,2990.311670789495,2837.2225111459074
2025-03-25,3008.195,2613.165,2651.6213738578863,2792.7417044370873,2673.8066575904572,2805.92436061008,2997.0489219283068,2837.519132962337
2025-03-26,3022.05,2613.165,2652.278936698932,2796.0995431668207,2674.868976750556,2809.15154183385,3003.507459207615,2835.2678525843016
2025-03-27,3017.675,2613.165,2652.9366626058263,2799.4614191768073,2675.9317179763248,2812.8231328182737,3009.561331412227,2835.084999850183
2025-03-28,3050.9467,2613.165,2653.5945516190077,2802.82733732125,2676.9948814354525,2816.2530663454572,3015.902398609669,2834.5415465525966
2025-03-31,3080.9217,2613.165,2654.2526037789235,2806.197302460189,2678.058467295695,2820.400259077382,3022.552553959113,2834.963250350187
2025-04-01,3118.2217,2613.165,2654.910819126032,2809.571319459507,2679.122475724875,2823.6440894839975,3029.5623505649755,2834.1906876091102
2025-04-02,3112.3367,2613.165,2655.569197700801,2812.9493931909374,2680.1869068908813,2827.9438767191464,3036.3880345215434,2834.89918392601
2025-04-03,3125.2467,2613.165,2656.2277395437086,2816.331528532072,2681.25176096167,2829.527990350002,3042.9313462345817,2834.799827708617
2025-04-04,3105.7217,2613.165,2656.886444695243,2819.717730366366,2682.3170381052632,2832.2726494468957,3049.064681259617,2835.5084762995043
2025-04-07,3023.775,2613.165,2657.545313195902,2823.1080035831474,2683.382738489751,2834.1971587459175,3055.488980984435,2835.9620977317127
2025-04-08,2971.095,2613.165,2658.2043450861943,2826.502353077621,2684.4488622832887,2836.3530601862944,3062.226425936708,2838.133540783257
2025-04-09,2986.17,2613.165,2658.8635404066376,2829.9007837508793,2685.5154096540996,2838.8967341870084,3069.328232778345,2843.7501883737204
2025-04-10,3064.2433,2613.165,2659.5228991977606,2833.303300509907,2686.5823807704733,2840.949945695558,3076.2435103173625,2848.563669814827
