date,real_price,random_walk_constante,rf_recursivo_desde_2009,rf_recursivo_desde_2018,rf_recursivo_desde_2024
2025-08-12,3355.27,2613.165,2714.8235620553473,2776.634925356636,3684.1006170321966
2025-08-13,3349.0333,2613.165,2715.4967981033,2777.7380987941888,3692.40099298299
2025-08-14,3352.762,2613.165,2716.1702011038246,2778.8417105290573,3700.357990043949
2025-08-18,3337.812,2613.165,2716.843771098323,2779.9457607353793,3707.8164347747474
2025-08-19,3332.39,2613.165,2717.5175081282073,2781.0502495873616,3715.628707255553
2025-08-20,3318.745,2613.165,2718.1914122349,2782.155177259281,3723.8217801267087
2025-08-21,3345.1183,2613.165,2718.865483459833,2783.260543925484,3732.457935432256
2025-08-22,3338.855,2613.165,2719.5397218444496,2784.3663497603843,3740.8672616980425
2025-08-25,3372.95,2613.165,2720.214127430203,2785.472594938467,3748.928701900051
2025-08-26,3371.5367,2613.165,2720.8887002585566,2786.5792796342857,3756.485045799224
2025-08-27,3383.8133,2613.165,2721.5634403709837,2787.6864040224636,3764.399861773558
2025-08-28,3394.6433,2613.165,2722.2383478089687,2788.793968277693,3772.70047650491
2025-08-29,3418.6283,2613.165,2722.9134226140054,2789.901972574735,3781.4499895482813
2025-09-01,3443.6617,2613.165,2723.588664827599,2791.010417088421,3789.9696962053863
2025-09-02,3476.5367,2613.165,2724.264074491264,2792.1193019936522,3798.1369504638324
2025-09-03,3529.29,2613.165,2724.939651646526,2793.2286274653984,3805.792478550914
2025-09-04,3572.8283,2613.165,2725.6153963349193,2794.3383936786995,3813.8111839994876
2025-09-05,3545.9633,2613.165,2726.2913085979903,2795.4486008086647,3822.2207521800547
2025-09-08,3594.7967,2613.165,2726.967388477295,2796.5592490304725,3831.0851108891843
2025-09-09,3635.3067,2613.165,2727.6436360144003,2797.6703385193714,3839.7166467850425
2025-09-10,3643.795,2613.165,2728.320051250882,2798.7818694506796,3847.9911040098796
2025-09-11,3644.85,2613.165,2728.9966342283274,2799.893841999785,3855.747118171504
2025-09-12,3634.9367,2613.165,2729.6733849883335,2801.0062563421443,3863.8710767423026
2025-09-15,3649.3633,2613.165,2730.3503035725084,2802.119112653285,3872.391028489549
2025-09-16,3681.11,2613.165,2731.0273900224697,2803.2324111088037,3881.3717403228384
2025-09-17,3687.9817,2613.165,2731.704644379846,2804.346151884367,3890.1165733223825
2025-09-22,3678.7717,2613.165,2732.3820666862753,2805.460335155711,3898.499640654327
2025-09-23,3743.4033,2613.165,2733.059656983407,2806.5749610986427,3906.357459865628
2025-09-24,3780.37,2613.165,2733.7374153129,2807.6900298890378,3914.588053105811
2025-09-25,3734.64,2613.165,2734.4153417164234,2808.8055417028418,3923.2198373088518
