Fecha,Precio,Return
2022-08-29,1738.02,-0.010969407974601162
2022-08-30,1737.71,-0.00017837979407028012
2022-08-31,1724.53,-0.007613604872570389
2022-09-01,1712.03,-0.007274748659707027
2022-09-02,1697.24,-0.008676398632171716
2022-09-05,1714.28,0.009989765095465866
2022-09-06,1710.0,-0.002499796879229591
2022-09-07,1701.39,-0.005047806484830789
2022-09-08,1715.57,0.008299822884346816
2022-09-09,1709.49,-0.0035503064976192145
2022-09-12,1715.19,0.003328781237004264
2022-09-13,1729.93,0.008557083609846469
2022-09-14,1706.74,-0.013495827053139427
2022-09-15,1699.35,-0.004339293204706236
2022-09-20,1668.71,-0.01819495216378666
2022-09-21,1661.8,-0.004149520592939566
2022-09-22,1668.38,0.003951743487092506
2022-09-23,1673.41,0.0030103649832049946
2022-09-26,1646.89,-0.015974799853537523
2022-09-27,1626.05,-0.012734899905163065
2022-09-28,1628.28,0.0013704820033838033
2022-09-29,1661.89,0.020431265960294
2022-09-30,1660.75,-0.0006862013608052822
2022-10-03,1663.37,0.0015763573773131204
2022-10-04,1694.81,0.01872497521356054
2022-10-05,1721.62,0.015695067864134795
2022-10-06,1711.24,-0.006047454096294091
2022-10-07,1711.67,0.000251248208256684
2022-10-11,1701.39,-0.006023938100446918
2022-10-12,1678.6,-0.013485451363147589
2022-10-13,1671.18,-0.0044301489265214655
2022-10-14,1670.41,-0.0004608584617672756
2022-10-17,1644.15,-0.015845571930596252
2022-10-18,1657.71,0.0082135985373888
2022-10-19,1651.1,-0.003995399429444163
2022-10-20,1629.85,-0.012953746411373854
2022-10-21,1631.83,0.001214098405248665
2022-10-24,1652.72,0.01272033105171183
2022-10-25,1649.6,-0.001889581220677885
2022-10-26,1654.69,0.00308084582529053
2022-10-27,1664.51,0.005917105719200061
2022-10-28,1661.54,-0.0017859026709690898
2022-11-02,1641.22,-0.012305015437221357
2022-11-03,1647.92,0.004074018902818087
2022-11-04,1629.5,-0.011240667324197453
2022-11-07,1673.15,0.026434857984733582
2022-11-08,1677.4,0.0025368982879612543
2022-11-09,1712.8,0.020884482725161805
2022-11-10,1713.39,0.0003444058886588041
2022-11-11,1747.45,0.019683718231203264
