Fecha,Precio
2012-10-29,1716.0
2012-10-30,1707.0
2012-10-31,1710.0
2012-11-05,1719.0
2012-11-06,1683.5
2012-11-07,1691.0
2012-11-08,1715.25
2012-11-09,1717.0
2012-11-12,1738.25
2012-11-13,1735.25
2012-11-14,1726.25
2012-11-15,1725.75
2012-11-16,1710.0
2012-11-19,1713.5
2012-11-20,1730.5
2012-11-21,1732.25
2012-11-22,1724.0
2012-11-23,1731.0
2012-11-26,1734.5
2012-11-27,1750.5
2012-11-28,1746.25
2012-11-29,1708.0
2012-11-30,1725.0
2012-12-03,1726.0
2012-12-04,1720.0
2012-12-05,1697.75
2012-12-06,1694.0
2012-12-07,1694.25
2012-12-10,1701.5
2012-12-11,1712.5
2012-12-12,1710.0
2012-12-13,1716.25
2012-12-14,1692.75
2012-12-17,1696.25
2012-12-18,1695.75
2012-12-19,1694.0
2012-12-20,1665.0
2012-12-21,1650.5
2012-12-24,1651.5
2012-12-26,1651.5
2012-12-27,1651.5
2012-12-28,1655.5
2013-01-02,1657.5
2013-01-03,1693.75
2013-01-04,1679.5
2013-01-07,1648.0
2013-01-08,1645.25
2013-01-09,1656.0
2013-01-10,1657.75
2013-01-11,1675.0
2013-01-14,1657.5
2013-01-15,1666.5
2013-01-16,1680.5
2013-01-17,1676.25
2013-01-18,1675.0
2013-01-21,1688.5
2013-01-22,1687.5
2013-01-23,1690.5
2013-01-24,1690.25
2013-01-25,1671.0
2013-01-28,1660.0
2013-01-29,1656.5
2013-01-30,1663.5
2013-01-31,1677.5
2013-02-01,1664.75
2013-02-04,1669.0
2013-02-05,1666.0
2013-02-06,1673.5
2013-02-07,1674.25
2013-02-08,1668.0
2013-02-11,1668.25
2013-02-12,1652.0
2013-02-13,1647.5
2013-02-14,1645.0
2013-02-15,1646.0
2013-02-18,1612.25
2013-02-19,1610.75
2013-02-20,1607.75
2013-02-21,1588.5
2013-02-22,1577.0
2013-02-25,1576.5
2013-02-26,1586.25
2013-02-27,1590.5
2013-02-28,1604.25
2013-03-01,1588.5
2013-03-04,1582.25
2013-03-05,1574.25
2013-03-06,1579.75
2013-03-07,1574.0
2013-03-08,1579.5
2013-03-11,1581.75
2013-03-12,1579.0
2013-03-13,1594.0
2013-03-14,1589.25
2013-03-15,1586.0
2013-03-18,1595.5
2013-03-19,1603.75
2013-03-20,1610.75
2013-03-21,1607.5
2013-03-22,1613.75
2013-03-25,1607.75
2013-03-26,1599.25
2013-03-27,1598.0
2013-03-28,1603.0
2013-04-01,1598.25
2013-04-02,1598.25
2013-04-03,1583.5
2013-04-04,1574.75
2013-04-05,1546.5
2013-04-08,1568.0
2013-04-09,1575.0
2013-04-10,1577.25
2013-04-11,1575.0
2013-04-12,1565.0
2013-04-15,1535.5
2013-04-16,1395.0
2013-04-17,1380.0
2013-04-18,1392.0
2013-04-19,1393.75
2013-04-22,1405.5
2013-04-23,1424.5
2013-04-24,1408.0
2013-04-25,1428.5
2013-04-26,1451.0
2013-04-29,1471.5
2013-04-30,1467.5
2013-05-02,1469.0
2013-05-03,1469.25
2013-05-06,1469.25
2013-05-07,1469.25
2013-05-08,1444.25
2013-05-09,1468.0
2013-05-10,1465.5
2013-05-13,1426.5
2013-05-14,1430.75
2013-05-15,1433.75
2013-05-16,1410.0
2013-05-17,1381.0
2013-05-20,1368.75
2013-05-22,1354.75
2013-05-23,1408.5
2013-05-24,1380.5
2013-05-27,1390.25
2013-05-28,1390.25
2013-05-29,1376.5
2013-05-30,1382.5
2013-05-31,1413.5
2013-06-03,1394.5
2013-06-04,1402.5
2013-06-05,1399.5
2013-06-06,1404.0
2013-06-07,1400.0
2013-06-10,1386.0
2013-06-11,1383.25
2013-06-12,1374.25
2013-06-13,1382.75
2013-06-14,1385.0
2013-06-17,1391.25
2013-06-18,1384.75
2013-06-19,1366.75
2013-06-20,1372.75
2013-06-21,1292.5
2013-06-24,1295.25
2013-06-25,1286.75
2013-06-26,1279.0
2013-06-27,1236.25
2013-06-28,1232.75
2013-07-01,1192.0
2013-07-02,1242.75
2013-07-03,1252.5
2013-07-04,1250.0
2013-07-05,1251.75
2013-07-08,1212.75
2013-07-09,1235.25
2013-07-10,1255.5
2013-07-11,1256.0
2013-07-12,1285.0
2013-07-15,1279.75
2013-07-17,1284.75
2013-07-18,1297.25
2013-07-19,1283.25
2013-07-22,1295.75
2013-07-23,1327.0
2013-07-24,1333.5
2013-07-25,1335.0
2013-07-26,1326.0
2013-07-29,1331.0
2013-07-30,1329.75
2013-07-31,1324.15
2013-08-01,1314.5
2013-08-02,1315.0
2013-08-05,1309.25
2013-08-06,1304.75
2013-08-07,1280.5
2013-08-08,1282.5
2013-08-09,1298.25
2013-08-12,1309.0
2013-08-13,1341.0
2013-08-14,1328.5
2013-08-16,1326.5
2013-08-19,1369.25
2013-08-20,1365.0
2013-08-21,1372.5
2013-08-22,1363.0
2013-08-23,1375.5
2013-08-26,1377.5
2013-08-27,1377.5
2013-08-28,1419.25
2013-08-29,1419.5
2013-08-30,1407.75
2013-09-02,1394.75
2013-09-03,1392.25
2013-09-04,1399.5
2013-09-05,1390.0
2013-09-06,1385.0
2013-09-09,1387.0
2013-09-10,1390.0
2013-09-11,1358.25
2013-09-12,1363.75
2013-09-13,1328.0
